Cluster 0 of PKA,Cluster1 of PKA,Cluster 0 of Sieve,Cluster 1 of Sieve,Cluster 0 of Photon,Cluster 1 of Photon
,3232,,,2304,
,1376,,,2143,
,1856,,,2144,
,2016,,,2112,
,1376,,,2176,
,2496,,,2176,
,1407,,,2144,
,3136,,,2143,
,1344,,,2240,
,2080,,,2144,
,1312,,,2496,
,2527,,,2144,
,2144,,,2144,
,2144,,,2176,
,2176,,,2144,
,2144,,,2176,
,2176,,,2176,
,2176,,,2112,
,2176,,,2239,
,2272,,,2144,
,2176,,,2145,
,2144,,,2176,
,2176,,,2144,
,2144,,,2177,
,2144,,,2144,
,2112,,,2176,
,2144,,,2272,
,2272,,,2144,
,2112,,,2144,
,2144,,,2112,
,2144,,,2176,
,2145,,,2112,
,2144,,,2176,
,2145,,,2144,
,2112,,,2273,
,2240,,,2144,
,2145,,,2560,
,4256,,,2144,
,4640,,,2144,
,2112,,,2176,
,1408,,,2112,
,1344,,,2144,
,1312,,,2143,
,3232,,,2176,
,1376,,,2337,
,1887,,,2112,
,1951,,,2112,
,1344,,,2143,
,2528,,,2176,
,1408,,,2144,
,3073,,,2145,
,1376,,,2144,
,2048,,,2304,
,1376,,,2207,
,2528,,,2144,
,2176,,,2113,
,2144,,,2144,
,2144,,,2144,
,2177,,,2176,
,2144,,,2176,
,2144,,,2272,
,2144,,,2176,
,2272,,,2528,
,2144,,,2113,
,2144,,,2144,
,2144,,,2176,
,2143,,,2175,
,2144,,,2144,
,2143,,,2145,
,2144,,,2144,
,2272,,,2240,
,2176,,,2176,
,2144,,,2144,
,2176,,,2144,
,2113,,,2144,
,2112,,,2176,
,2144,,,2144,
,2113,,,2176,
,2240,,,2336,
,2144,,,2144,
,4256,,,2143,
,4768,,,2112,
,2016,,,2113,
,1472,,,2176,
,1343,,,2144,
,1344,,,2112,
,3231,,,2240,
,1344,,,2112,
,1888,,,2528,
,1985,,,2144,
,1344,,,2175,
,2464,,,2144,
